segment,timestamp_sec,face_count,head_count,head_up_rate
head_detect_seg000,0.0,14,25,0.5200
head_detect_seg000,1.0,11,24,0.4583
head_detect_seg000,2.0,7,23,0.3043
head_detect_seg000,3.0,13,26,0.5000
head_detect_seg000,4.0,12,25,0.4400
head_detect_seg000,5.0,11,25,0.4400
head_detect_seg000,6.0,10,28,0.3571
head_detect_seg000,7.0,14,26,0.4615
head_detect_seg000,8.0,14,28,0.5000
head_detect_seg000,9.0,14,24,0.5833
head_detect_seg000,10.0,13,23,0.5217
head_detect_seg000,11.0,15,21,0.5714
head_detect_seg000,12.0,15,24,0.6250
head_detect_seg000,13.0,15,21,0.5238
head_detect_seg000,14.0,13,22,0.5455
head_detect_seg000,15.0,12,21,0.5714
head_detect_seg000,16.0,12,21,0.5714
head_detect_seg000,17.0,13,19,0.6842
head_detect_seg000,18.0,14,21,0.6190
head_detect_seg000,19.0,18,23,0.6522
head_detect_seg000,20.0,16,23,0.6087
head_detect_seg000,21.0,15,27,0.5185
head_detect_seg000,22.0,17,27,0.5185
head_detect_seg000,23.0,17,26,0.6154
head_detect_seg000,24.0,14,24,0.5833
head_detect_seg000,25.0,16,26,0.5769
head_detect_seg000,26.0,12,26,0.4615
head_detect_seg000,27.0,12,23,0.4783
head_detect_seg000,28.0,12,22,0.5455
head_detect_seg000,29.0,10,21,0.4762
head_detect_seg000,30.0,15,21,0.6190
head_detect_seg000,31.0,11,21,0.4762
head_detect_seg000,32.0,9,26,0.3462
head_detect_seg000,33.0,9,24,0.3750
head_detect_seg000,34.0,10,25,0.4000
head_detect_seg000,35.0,13,24,0.4583
head_detect_seg000,36.0,14,24,0.5833
head_detect_seg000,37.0,12,25,0.4800
head_detect_seg000,38.0,13,22,0.5455
head_detect_seg000,39.0,15,24,0.5833
head_detect_seg000,40.0,13,23,0.5652
head_detect_seg000,41.0,11,25,0.4400
head_detect_seg000,42.0,13,23,0.4783
head_detect_seg000,43.0,13,25,0.4800
head_detect_seg000,44.0,11,24,0.4583
head_detect_seg000,45.0,11,19,0.5263
head_detect_seg000,46.0,12,23,0.5217
head_detect_seg000,47.0,9,20,0.4500
head_detect_seg000,48.0,11,24,0.4167
head_detect_seg000,49.0,9,22,0.4091
head_detect_seg000,50.1,9,21,0.3810
head_detect_seg000,51.1,8,23,0.3478
head_detect_seg000,52.1,5,19,0.2632
head_detect_seg000,53.1,8,21,0.3810
head_detect_seg000,54.1,11,20,0.5500
